assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
2,0,137,100,100,2,0.25,444145,2,,0,0,-2,2,287.0,22,17,3,,0,3,2.8,3.3,2,1.53,0.19,2.75,0.34,1.22,5.89,0.74,0.15,Gabriel,2.3,144,63,8,1.0,1,71.7,27,19,12,False,163.0,130,52,721,,2023-11-12T02:00:08.588141Z,78,16,9,0,0,None,0,,444145.jpg,3.1,129,55,0,0,0.0,Martinelli Silva,7.3,54,18,False,None,9,1.12,a,1,3,268.0,29,16,31,742165,15192,1411238,42292,0.3,4.0,Martinelli,0
2,5,159,100,75,6,0.7,205533,None,,0,0,2,-2,90.6,145,16,None,,1,4,7.2,5.8,1,0.31,0.04,3.45,0.41,3.14,5.63,0.66,0.37,Eddie,6.7,12,3,5,0.59,5,53.4,59,13,13,False,179.4,121,14,766,,2023-11-09T08:30:08.250179Z,57,86,27,0,0,None,0,,205533.jpg,4.2,52,10,0,0,0.0,Nketiah,10.2,38,6,False,None,9,1.06,a,1,3,272.0,27,13,50,1379887,50616,771646,55272,1.2,8.8,Nketiah,2
2,6,161,75,75,4,0.46,184029,3,,-1,1,-2,2,239.2,34,27,1,,1,3,0.4,0.8,0,1.16,0.13,3.77,0.43,2.61,7.61,0.87,0.3,Martin,0.0,739,320,7,0.8,3,65.3,37,26,14,False,217.4,81,31,789,Hip injury - 75% chance of playing,2023-11-04T21:00:08.152623Z,83,10,7,0,0,2,0,,184029.jpg,5.3,17,10,0,0,0.0,Ødegaard,14.0,27,10,False,None,9,1.03,d,1,3,197.0,44,27,48,1077624,2399,2091726,101511,0.0,5.8,Ødegaard,1
0,0,58,0,0,1,0.36,167199,None,,0,0,-2,2,60.0,204,119,None,,0,3,0.0,0.0,0,0.21,0.08,0.28,0.11,0.07,2.53,0.91,0.03,Thomas,0.0,655,266,2,0.72,0,13.1,303,137,15,False,55.8,295,124,250,Muscle injury - Unknown return date,2023-10-25T12:00:07.465521Z,48,290,190,0,0,None,0,,167199.jpg,1.8,271,119,0,0,0.0,Partey,0.2,345,105,False,None,3,1.08,i,1,3,15.0,321,162,7,8483,16,35559,383,0.0,1.5,Thomas,0
0,0,0,0,0,0,0,195735,None,,0,0,-1,1,0.0,699,296,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Nicolas,0.0,669,277,0,0,0,0.0,703,298,16,False,0.0,701,297,0,Permanent move to Trabzonspor,2023-09-11T14:13:51.462896Z,49,242,155,0,0,None,0,,195735.jpg,0.0,704,298,0,0,0,Pépé,0.0,516,179,False,None,0,0,u,1,3,0.0,696,294,0,667,0,6189,35,0.0,0.0,Pepe,0
0,0,55,None,None,1,0.25,225321,None,,0,0,-3,3,0.0,683,78,None,,0,1,0.5,1.0,0,0.01,0.0,0.01,0.0,0.00,3.73,0.93,0.0,Aaron,0.0,645,83,4,1.0,0,5.1,376,23,17,False,51.0,301,23,360,,None,47,325,12,0,0,None,0,,225321.jpg,2.8,154,15,0,5,1.25,Ramsdale,7.6,49,9,False,None,4,1.0,a,1,3,0.0,676,76,11,219930,6340,1252859,18741,0.0,2.3,Ramsdale,0
0,0,0,0,0,0,0,115918,None,,0,0,0,0,0.0,474,36,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Rúnar Alex,0.0,400,51,0,0,0,0.0,496,52,18,False,0.0,489,52,0,Season long loan to Cardiff City,2023-08-20T06:33:02.960208Z,40,628,44,0,0,None,0,,115918.jpg,0.0,500,52,0,0,0,Rúnarsson,0.1,412,59,False,None,0,0,u,1,3,0.0,450,29,0,990,0,9720,109,0.0,0.0,Rúnarsson,0
6,8,264,100,75,4,0.38,223340,1,,0,0,1,-1,424.0,4,3,None,,2,3,4.8,4.0,5,3.33,0.32,7.48,0.72,4.15,8.62,0.82,0.4,Bukayo,4.3,52,27,10,0.95,4,111.3,3,2,19,True,338.2,13,5,945,,2023-11-09T08:30:08.290130Z,86,7,5,0,0,1,0,,223340.jpg,6.5,5,3,0,0,0.0,Saka,50.4,2,1,False,None,11,1.05,a,1,3,351.0,14,8,71,2423264,123575,3258578,45646,0.5,8.3,Saka,1
1,5,250,100,100,5,0.42,462424,None,,1,-1,4,-4,53.8,218,58,None,,0,2,6.5,7.0,9,0.46,0.04,1.16,0.1,0.70,9.55,0.8,0.06,William,6.0,20,5,10,0.83,1,34.9,128,35,20,True,249.8,49,14,1080,,2023-10-09T08:30:07.861646Z,54,127,9,0,0,None,0,,462424.jpg,4.6,37,8,0,0,0.0,Saliba,30.7,11,3,False,None,12,1.0,a,1,3,44.0,216,58,55,2202678,229195,1204693,8819,1.1,10.2,Saliba,0
1,0,24,25,25,1,0.87,209289,None,,0,0,-2,2,17.2,333,174,None,,0,3,0.6,0.8,0,0.05,0.04,0.85,0.73,0.80,0.17,0.15,0.69,Emile,2.0,170,77,0,0.0,0,9.1,336,152,22,False,33.8,341,149,104,Knee injury - 25% chance of playing,2023-11-02T11:00:07.493976Z,53,141,90,0,0,None,0,,209289.jpg,2.2,221,95,0,0,0.0,Smith Rowe,0.1,403,130,False,None,1,0.87,d,1,3,41.0,223,117,9,4627,15,15071,363,0.4,1.7,Smith Rowe,0
